date,county,state,fips,cases,deaths
01/01/2023,Hutchinson,Texas,48233,7476,147
01/01/2023,Irion,Texas,48235,586,3
01/01/2023,Jack,Texas,48237,1641,31
01/01/2023,Jackson,Texas,48239,3840,61
01/01/2023,Jasper,Texas,48241,7953,206
01/01/2023,Jeff Davis,Texas,48243,273,10
01/01/2023,Jefferson,Texas,48245,61418,871
01/01/2023,Jim Hogg,Texas,48247,3719,22
01/01/2023,Jim Wells,Texas,48249,13799,225
01/01/2023,Johnson,Texas,48251,50901,770
01/01/2023,Jones,Texas,48253,5240,116
01/01/2023,Karnes,Texas,48255,6363,75
01/01/2023,Kaufman,Texas,48257,41630,553
01/01/2023,Kendall,Texas,48259,9633,131
01/01/2023,Kenedy,Texas,48261,102,2
01/01/2023,Kent,Texas,48263,220,4
01/01/2023,Kerr,Texas,48265,10825,200
01/01/2023,Kimble,Texas,48267,898,15
01/01/2023,King,Texas,48269,54,0
01/01/2023,Kinney,Texas,48271,818,13
01/01/2023,Kleberg,Texas,48273,9018,153
01/01/2023,Knox,Texas,48275,610,25
01/01/2023,La Salle,Texas,48283,2563,53
01/01/2023,Lamar,Texas,48277,14913,274
01/01/2023,Lamb,Texas,48279,5020,127
01/01/2023,Lampasas,Texas,48281,6238,93
01/01/2023,Lavaca,Texas,48285,4770,123
01/01/2023,Lee,Texas,48287,5101,64
01/01/2023,Leon,Texas,48289,4198,95
01/01/2023,Liberty,Texas,48291,21641,413
01/01/2023,Limestone,Texas,48293,5960,134
01/01/2023,Lipscomb,Texas,48295,805,19
01/01/2023,Live Oak,Texas,48297,2376,51
01/01/2023,Llano,Texas,48299,4952,101
01/01/2023,Loving,Texas,48301,369,1
01/01/2023,Lubbock,Texas,48303,110333,1374
01/01/2023,Lynn,Texas,48305,1676,41
01/01/2023,Madison,Texas,48313,4188,66
01/01/2023,Marion,Texas,48315,1995,67
01/01/2023,Martin,Texas,48317,1370,26
01/01/2023,Mason,Texas,48319,1003,13
01/01/2023,Matagorda,Texas,48321,10081,185
01/01/2023,Maverick,Texas,48323,23774,476
01/01/2023,McCulloch,Texas,48307,1759,50
01/01/2023,McLennan,Texas,48309,72912,948
01/01/2023,McMullen,Texas,48311,182,10
01/01/2023,Medina,Texas,48325,11932,211
01/01/2023,Menard,Texas,48327,622,12
01/01/2023,Midland,Texas,48329,46869,519
01/01/2023,Milam,Texas,48331,5835,107
01/01/2023,Mills,Texas,48333,1592,39
01/01/2023,Mitchell,Texas,48335,2082,50
01/01/2023,Montague,Texas,48337,5200,133
01/01/2023,Montgomery,Texas,48339,167908,1352
01/01/2023,Moore,Texas,48341,6258,115
01/01/2023,Morris,Texas,48343,2945,75
01/01/2023,Motley,Texas,48345,316,14
01/01/2023,Nacogdoches,Texas,48347,14473,270
01/01/2023,Navarro,Texas,48349,14106,243
01/01/2023,Newton,Texas,48351,1703,77
01/01/2023,Nolan,Texas,48353,3456,104
01/01/2023,Nueces,Texas,48355,111069,1581
01/01/2023,Ochiltree,Texas,48357,2642,54
01/01/2023,Oldham,Texas,48359,627,6
01/01/2023,Orange,Texas,48361,16908,373
01/01/2023,Palo Pinto,Texas,48363,7896,157
01/01/2023,Panola,Texas,48365,5393,142
01/01/2023,Parker,Texas,48367,39587,512
01/01/2023,Parmer,Texas,48369,2619,53
01/01/2023,Pecos,Texas,48371,3539,72
01/01/2023,Polk,Texas,48373,9127,269
01/01/2023,Potter,Texas,48375,41437,757
01/01/2023,Presidio,Texas,48377,1195,42
01/01/2023,Rains,Texas,48379,2207,66
01/01/2023,Randall,Texas,48381,43950,531
01/01/2023,Reagan,Texas,48383,954,16
01/01/2023,Real,Texas,48385,983,29
01/01/2023,Red River,Texas,48387,2707,71
01/01/2023,Reeves,Texas,48389,5415,76
01/01/2023,Refugio,Texas,48391,2212,40
01/01/2023,Roberts,Texas,48393,194,2
01/01/2023,Robertson,Texas,48395,5227,83
01/01/2023,Rockwall,Texas,48397,30812,274
01/01/2023,Runnels,Texas,48399,2699,69
01/01/2023,Rusk,Texas,48401,12235,275
01/01/2023,Sabine,Texas,48403,1496,91
01/01/2023,San Augustine,Texas,48405,1180,47
01/01/2023,San Jacinto,Texas,48407,6568,130
01/01/2023,San Patricio,Texas,48409,14090,358
01/01/2023,San Saba,Texas,48411,1458,39
01/01/2023,Schleicher,Texas,48413,582,9
01/01/2023,Scurry,Texas,48415,5846,107
01/01/2023,Shackelford,Texas,48417,1084,13
01/01/2023,Shelby,Texas,48419,5196,137
01/01/2023,Sherman,Texas,48421,521,19
01/01/2023,Smith,Texas,48423,55252,998
01/01/2023,Somervell,Texas,48425,2207,39
01/01/2023,Starr,Texas,48427,23593,382
01/01/2023,Stephens,Texas,48429,2098,54
